	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)
								(0.403)	(0.262)	(0.719)								(0.315)	(0.328)	(0.719)
o.rainfall	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																				
rainfall_m1_n	-7.757***	-3.415***	0.103	-4.266	-4.506***	-163.0***	0.0409**	0.0358	-0.134***	-0.147*	-8.584***	-4.458***	0.155	38.61	-5.146***	-160.3***	0.0556***	0.000617	-0.154***	-0.139**
	(1.891)	(0.533)	(0.111)	(66.12)	(0.319)	(53.89)	(0.0172)	(0.0883)	(0.0231)	(0.0797)	(1.528)	(0.567)	(0.134)	(71.86)	(0.338)	(46.77)	(0.0131)	(0.0621)	(0.0200)	(0.0652)
rainfall_m2_n	-5.160***	-3.854***	0.550***	262.5***	-4.597***	-37.09	0.0238	0.0644	-0.0946***	0.112	-5.776***	-4.631***	0.588***	294.4***	-5.074***	-35.12	0.0348***	0.0424	-0.115***	0.0787
	(1.531)	(0.332)	(0.136)	(77.94)	(0.283)	(34.96)	(0.0139)	(0.119)	(0.0293)	(0.0871)	(1.322)	(0.519)	(0.129)	(66.00)	(0.376)	(33.88)	(0.0109)	(0.0741)	(0.0255)	(0.0736)
mean_animals	-19.60**	4.161	-0.206	-562.3	-3.850**	-664.8***	0.0644	-0.0320			-26.05***	-3.979	0.202	-227.8	-8.842***	-644.2***	0.179**	-0.0490		
	(7.873)	(2.644)	(0.782)	(455.1)	(1.589)	(188.4)	(0.0785)	(0.318)			(8.763)	(3.437)	(0.828)	(460.3)	(1.887)	(215.9)	(0.0744)	(0.201)		
Constant	-33,352*	17,612**	-1,778	49,392	8,348**	-357,205	59.42	511.0	-1,433***	872.1	281.5***	107.6***	29.46***	9,274***	144.6***	5,722***	-0.390	2.511	4.185***	4.601**
	(16,193)	(7,115)	(2,309)	(1.208e+06)	(4,014)	(404,418)	(145.2)	(475.4)	(378.3)	(674.7)	(41.73)	(18.50)	(4.391)	(2,415)	(10.09)	(1,148)	(0.363)	(1.672)	(0.893)	(2.023)
																				
Observations	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66	66
R-squared	0.709	0.896	0.756	0.741	0.924	0.687	0.658	0.428	0.791	0.556	0.306	0.537	0.100	0.106	0.790	0.199	0.191	0.148	0.343	0.091
Robust standard errors in parentheses																				
*** p<0.01, ** p<0.05, * p<0.1																				
